Rank,Release Group,Worldwide,Domestic,%,Foreign,%
497,Pink and Gray,"$4,215,944",-,-,"$4,215,944",100%
498,Rosalie Blum,"$4,199,529",-,-,"$4,199,529",100%
499,Sheep & Wolves,"$4,190,750",-,-,"$4,190,750",100%
500,At War with Love,"$4,165,279",-,-,"$4,165,279",100%
501,A Quiet Passion,"$4,159,246","$1,865,396",44.8%,"$2,293,850",55.2%
502,The Last Princess,"$4,135,255","$29,259",0.7%,"$4,105,996",99.3%
503,The Inerasable,"$4,131,434",-,-,"$4,131,434",100%
504,Çakallarla Dans 4,"$4,111,121",-,-,"$4,111,121",100%
505,Naam Hai Akira,"$4,108,063","$219,401",5.3%,"$3,888,662",94.7%
506,The Girl with All the Gifts,"$4,086,096",-,-,"$4,086,096",100%
507,8 luchshikh svidaniy,"$4,085,476",-,-,"$4,085,476",100%
508,Marseille,"$4,065,486",-,-,"$4,065,486",100%
509,Sanada 10 Braves,"$4,010,847",-,-,"$4,010,847",100%
510,Sour Apples,"$4,009,596",-,-,"$4,009,596",100%
511,Wonderland,"$3,987,780",-,-,"$3,987,780",100%
512,Goodbye Berlin,"$3,987,502",-,-,"$3,987,502",100%
513,Before I Wake,"$3,965,086",-,-,"$3,965,086",100%
514,The Wild Soccer Bunch 6,"$3,963,295",-,-,"$3,963,295",100%
515,Ma famille t'adore déjà,"$3,947,091",-,-,"$3,947,091",100%
516,Indignation,"$3,924,527","$3,401,155",86.7%,"$523,372",13.3%
517,Soreike! Anpanman: Omocha no hoshi no Nanda to Runda,"$3,915,932",-,-,"$3,915,932",100%
518,Earthquake,"$3,910,254",-,-,"$3,910,254",100%
519,Swallows and Amazons,"$3,898,580",-,-,"$3,898,580",100%
520,Rules Don't Apply,"$3,885,342","$3,652,206",94%,"$233,136",6%
521,Neruda,"$3,884,746","$939,101",24.2%,"$2,945,645",75.8%
522,Sophie's Misfortunes,"$3,874,946",-,-,"$3,874,946",100%
523,The Top Secret: Murder in Mind,"$3,833,651",-,-,"$3,833,651",100%
524,Correspondence,"$3,806,269",-,-,"$3,806,269",100%
525,Everybody's Fine,"$3,805,627",-,-,"$3,805,627",100%
526,Non c'è più religione,"$3,770,594",-,-,"$3,770,594",100%
527,Merci patron!,"$3,770,006",-,-,"$3,770,006",100%
528,Green Room,"$3,769,214","$3,220,371",85.4%,"$548,843",14.6%
529,Throne of Elves,"$3,736,946",-,-,"$3,736,946",100%
530,The Last King,"$3,705,618","$8,905",0.2%,"$3,696,713",99.8%
531,Rokjesdag,"$3,703,315",-,-,"$3,703,315",100%
532,Reunion 2: The Bachelor Party,"$3,664,336",-,-,"$3,664,336",100%
533,Miss Saigon: 25th Anniversary,"$3,638,145",-,-,"$3,638,145",100%
534,Tout schuss,"$3,630,580",-,-,"$3,630,580",100%
535,Colonia,"$3,621,046","$15,709",0.4%,"$3,605,337",99.6%
536,Um Suburbano Sortudo,"$3,610,588",-,-,"$3,610,588",100%
537,Good Morning Show,"$3,573,355",-,-,"$3,573,355",100%
538,Enter the Warriors Gate,"$3,554,029",-,-,"$3,554,029",100%
539,Kizumonogatari II: Fierce,"$3,546,960",-,-,"$3,546,960",100%
540,Ricky Rapper and the Nighthawk,"$3,482,563",-,-,"$3,482,563",100%
541,Miles Ahead,"$3,473,958","$2,610,896",75.2%,"$863,062",24.8%
542,Fitoor,"$3,454,709","$528,799",15.3%,"$2,925,910",84.7%
